nature,natur,2.35
maggot,made,-1.36
delight,wonne,1.85
rape,vergewaltigung,-2.88
bastard,bastard,-1.50
jewel,schmuck,1.30
custom,brauch,0.42
rabies,wut,-1.40
trumpet,trompete,0.33
father,vater,2.10
privacy,privatheit,0.67
suicide,selbstmord,-2.53
inspire,inspirieren,1.47
tree,baum,1.50
sapphire,saphir,1.50
lucky,ein glückspilz sein,2.03
slum,slum,-1.26
slave,sklave,-2.20
life,leben,2.38
poison,gift,-2.50
cancer,krebs,-1.86
party,feier,2.10
thief,dieb,-1.80
measles,masern,-1.36
accident,unfall,-2.35
hatred,hass,-2.29
abuse,misshandlung,-2.60
kindness,liebenswürdigkeit,2.00
birthday,geburtstag,1.91
cyclone,wirbelsturm,-0.88
dress,kleid,0.67
hide,verstecken,-0.43
sunset,sonnenuntergang,2.48
pest,pest,-2.80
slime,schleim,-1.40
luscious,köstlich,2.18
peace,frieden,2.53
chair,stuhl,0.50
valentine,verliebt,2.56
vanity,eitelkeit,-1.27
paper,papier,0.13
music,musik,2.40
table,tisch,0.50
dream,traum,1.50
triumph,triumph,2.00
pervert,pervers,-2.10
gangrene,wundbrand,-2.44
love,liebe,2.90
flower,blume,2.15
sex,sex,2.60
tornado,tornado,-1.50
slap,ohrfeige,-2.00
irritate,irritieren,-0.73
obesity,fettleibigkeit,-1.93
fungus,pilz,-0.50
shadow,schatten,-0.35
rotten,verfault,-2.06
graduate,graduiert,0.57
seasick,seekrank,-2.00
beggar,bettler,-1.05
seat,sitz,0.13
mildew,schimmelpilz,-1.88
circus,zirkus,0.85
slaughter,gemetzel,-2.30
stupid,dumm,-1.67
errand,erledigung,0.60
confident,überzeugt,1.47
orchestra,orchester,0.80
execution,hinrichtung,-2.67
waterfall,wasserfall,1.07
beauty,schönheit,2.06
killer,mörder,-2.44
diploma,diplom,1.80
god,gott,1.50
loneliness,einsamkeit,-1.71
spouse,ehemann,0.93
book,buch,1.91
agony,qual,-2.70
paralysis,lähmung,-1.73
millionaire,millionär,1.18
girl,mädchen,1.32
fire,feuer,0.05
death,tod,-2.80
reward,belohnung,1.47
nectar,nektar,1.20
revolt,revolte,0.36
lice,läuse,-1.44
engine,motor,0.45
spirit,geist,1.10
movie,film,1.50
truth,wahrheit,2.50
baby,baby,1.90
sleep,schlafen,2.00
coffin,sarg,-2.30
menace,bedrohung,-1.86
blackmail,erpressung,-2.07
riches,reichtum,1.50
bankrupt,bankrott,-2.30
perfection,vollkommenheit,1.80
water,wasser,1.55
wise,weise,1.80
passion,leidenschaft,2.00
corpse,leiche,-2.45
comedy,komödie,1.64
health,gesundheit,1.97
romantic,romantisch,1.40
smallpox,pocken,-1.93
beach,strand,2.10
rescue,rettung,2.13
idiot,idiot,-2.00
enjoyment,genuss,2.13
tomb,grab,-2.30
thoughtful,rücksichtsvoll,1.46
ocean,ozean,1.90
punishment,strafe,-2.40
sweetheart,verlobter,1.05
jail,gefängnis,-2.26
headache,kopfschmerz,-2.00
horror,abscheu,-2.10
tobacco,tabak,0.30
salute,salut,0.18
church,kirche,0.05
world,welt,1.90
pie,kuchen,1.60
stress,stress,-1.33
month,monat,0.30
cockroach,kakerlake,-1.73
jelly,marmelade,0.80
easygoing,duldsam,0.74
assassin,ermorden,-2.21
plant,pflanze,1.50
moment,moment,0.38
woman,frau,1.40
politeness,höflichkeit,1.60
trust,vertrauen,2.21
justice,gerechtigkeit,2.33
engaged,engagiert,1.81
glacier,gletscher,0.57
torture,folter,-2.80
fragrance,duft,1.70
river,fluss,0.94
destroy,zerstören,-2.53
laughter,lachen,2.65
wealthy,wohlhabend,1.40
blossom,blühen,1.60
sickness,krankheit,-1.74
tragedy,tragödie,-1.33
demon,dämon,-1.43
boy,junge,0.80
radio,radio,0.75
glamour,glamour,0.87
despise,verachten,-1.74
filth,schmutz,-1.10
miracle,wunder,1.85
divorce,scheidung,-1.81
city,stadt,0.87
sissy,memme,-1.36
depression,depression,-2.40
ambulance,krankenwagen,-0.79
person,person,0.50
kerosene,kerosin,-0.67
scurvy,skorbut,-1.73
doctor,doktor,0.80
lie,lüge,-2.12
bless,segnen,1.30
fame,ruhm,1.70
guillotine,guillotine,-2.29
terrible,schrecklich,-2.00
honest,ehrlich,2.20
morbid,krankhaft,-1.73
autumn,herbst,1.10
decompose,verwesung,-2.03
candy,bonbon,1.70
rusty,oxidiert,-0.07
funeral,begräbnis,-2.07
fur,pelz,-0.30
home,heim,-0.21
friend,freund,2.56
ship,schiff,0.91
excuse,ausrede,-1.06
rat,ratte,-0.95
blind,blind,-1.64
assault,angriff,-2.00
